,Title,Published_date,Views,Likes,Favorites,Comments,Month
241,Intermediate SQL Tutorial | Aliasing,2020-06-04,108722,3166,0,83,Jun
242,Data Analyst Q&A LIVE,2020-05-31,9354,246,0,54,May
243,Data Analyst Interviews | Salary Negotiation,2020-05-27,24139,760,0,26,May
244,Data Analyst Interview Questions | What To Say vs What NOT To Say,2020-05-20,65862,1601,0,35,May
245,SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,2020-05-13,110662,2966,0,105,May
246,Data Analyst Interview Questions | Phone + In-Person Interview Questions,2020-05-06,73778,1530,0,63,May
247,Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),2020-04-23,14997,522,0,51,Apr
248,Intermediate SQL Tutorial | Updating/Deleting Data,2020-04-16,111894,2736,0,126,Apr
249,Intermediate SQL Tutorial | Having Clause,2020-04-09,130620,3700,0,67,Apr
250,Intermediate SQL Tutorial | Case Statement | Use Cases,2020-04-02,224166,5804,0,372,Apr
251,Intermediate SQL Tutorial | Unions | Union Operator,2020-03-26,194564,4073,0,144,Mar
252,Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,2020-03-19,393768,7129,0,387,Mar
253,Day in the Life of a Data Analyst | Fortune 500 Edition,2020-03-11,124200,2561,0,268,Mar
254,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,2020-03-03,248417,6654,0,212,Mar
255,SQL Basics Tutorial For Beginners | Where Statement | 3/4,2020-03-02,261114,4903,0,140,Mar
256,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,2020-03-01,380502,5942,0,242,Mar
257,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,2020-03-01,1091990,15132,0,1746,Mar
258,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,2020-02-26,25488,848,0,161,Feb
259,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,2020-02-24,23923,518,0,39,Feb
260,Data Analyst Salary in 2020,2020-02-19,8009,155,0,25,Feb
261,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,2020-02-14,13145,583,0,39,Feb
262,Switching Careers to Become a Data Analyst | How I Made the Switch,2020-02-11,48248,1769,0,248,Feb
263,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,2020-02-06,114106,3372,0,101,Feb
264,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,2020-01-30,66174,1572,0,64,Jan
265,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,2020-01-25,14518,397,0,20,Jan
266,Data Analyst Salary | 100k with No Experience,2020-01-23,62106,2151,0,227,Jan
267,Truth About Big Companies | Told by a Fortune 500 Data Analyst,2020-01-21,8125,305,0,18,Jan
268,Top 3 Data Analyst Skills in 2020,2020-01-17,27783,1363,0,138,Jan
